29;9276
6;9278
12;9337
21;9340
3;9342
4;9372
3;9374
6;9391
172;9397
16;9407
10;9434
50;9435
8;9436
8;9454
3;9469
23;9485
22;9488
30;9529
35;9530
30;9531
27;9536
6;9551
16;9552
1;9575
19;9580
1;9581
177;9625
52;9626
48;9627
6;9628
34;9639
175;9645
23;9646
39;9657
16;9721
22;9722
23;9723
39;9724
30;9727
38;9741
149;9744
11;9765
25;9770
31;9771
171;9817
35;9818
346;9820
41;9837
7;9838
41;9839
36;9840
160;9867
15;9868
12;9872
12;9913
23;9914
15;9917
19;9918
191;9920
12;9947
20;9948
7;9949
13;9951
32;9966
27;9970
4;9973
6;10009
27;10013
16;10014
8;10015
34;10016
12;10035
17;10045
14;10048
1;10051
8;10064
19;10066
35;10106
9;10107
19;10108
20;10126
10;10147
16;10160
166;10163
31;10201
37;10202
19;10203
26;10204
6;10221
31;10222
1;10235
14;10250
7;10258
1;10281
51;10298
41;10299
22;10300
162;10317
172;10318
37;10319
2;10322
14;10334
7;10355
31;10393
53;10394
69;10395
62;10396
23;10413
18;10416
184;10437
8;10447
9;10489
22;10490
11;10491
3;10492
9;10509
7;10511
18;10512
13;10522
15;10541
4;10546
29;10585
25;10588
38;10590
26;10592
10;10595
15;10617
178;10618
23;10619
13;10620
29;10640
6;10642
29;10647
9;10663
15;10682
26;10683
16;10685
9;10686
9;10687
10;10691
23;10692
164;10712
2;10713
16;10715
31;10718
7;10719
11;10739
76;10777
14;10778
15;10797
1;10798
153;10827
9;10834
21;10873
2;10874
69;10875
5;10882
32;10894
2;10917
17;10970
26;10991
21;10992
205;11013
12;11029
3;11046
35;11065
7;11066
15;11068
5;11087
25;11102
31;11105
155;11124
13;11161
28;11162
46;11163
6;11181
23;11184
1;11201
11;11204
173;11213
9;11215
9;11236
159;11238
9;11243
9;11250
15;11257
24;11259
18;11261
42;11263
34;11269
33;11290
44;11292
19;11293
6;11294
12;11296
15;11297
32;11311
9;11320
25;11339
56;11353
17;11355
21;11356
10;11358
78;11360
39;11386
40;11387
33;11389
23;11392
23;11400
13;11412
1;11415
556;11449
7;11450
40;11451
30;11452
7;11469
29;11470
11;11471
5;11494
15;11497
8;11498
34;11500
36;11502
175;11546
1;11547
34;11548
20;11549
27;11562
31;11566
162;11571
17;11600
15;11643
23;11644
23;11661
2;11664
4;11699
26;11739
182;11740
18;11758
10;11767
17;11771
162;11782
24;11833
68;11834
9;11835
11;11836
32;11849
12;11853
35;11854
25;11869
168;11870
4;11884
4;11889
14;11900
26;11909
3;11930
177;11931
171;11932
9;11933
17;11935
12;11936
6;11952
11;11956
17;11964
24;11965
30;11967
7;11977
21;11984
22;12025
30;12026
51;12028
4;12029
18;12031
34;12032
8;12058
4;12059
10;12060
32;12077
28;12078
9;12083
9;12088
21;12108
5;12121
59;12123
14;12124
4;12144
10;12173
4;12175
29;12209
6;12215
13;12217
53;12218
13;12220
35;12228
11;12235
15;12237
29;12239
9;12275
15;12281
76;12313
3;12314
64;12315
4;12316
6;12349
2;12353
25;12364
8;12365
14;12409
16;12411
33;12412
30;12419
25;12427
15;12429
26;12441
3;12443
22;12458
151;12466
10;12505
37;12506
30;12507
28;12525
1;12527
35;12528
28;12549
10;12550
33;12562
1;12585
20;12595
171;12600
12;12603
19;12604
1;12606
1;12608
5;12633
8;12635
3;12640
29;12649
11;12653
46;12697
24;12698
34;12700
40;12701
37;12704
10;12724
1;12729
7;12731
8;12735
1;12754
6;12755
13;12759
45;12793
27;12794
35;12795
63;12796
1;12799
48;12804
4;12832
31;12837
1;12890
6;12911
39;12933
8;12985
22;12986
39;12987
38;12988
36;13008
36;13033
8;13034
11;13037
29;13040
25;13044
22;13081
21;13082
17;13083
14;13084
30;13128
11;13132
4;13134
16;13136
10;13140
172;13177
11;13178
180;13179
15;13180
14;13197
30;13199
30;13222
8;13230
26;13233
3;13273
166;13275
4;13276
5;13279
34;13280
36;13305
24;13306
39;13308
24;13313
17;13329
17;13330
34;13331
25;13369
62;13371
3;13374
22;13376
3;13377
28;13396
32;13401
21;13405
26;13423
20;13428
32;13431
28;13465
21;13466
25;13467
190;13468
9;13470
1;13493
13;13494
20;13503
33;13522
15;13523
3;13524
28;13562
171;13563
174;13564
12;13657
211;13658
36;13659
62;13660
17;13680
25;13707
5;13716
165;13753
25;13754
4;13755
3;13757
25;13773
36;13774
22;13801
8;13849
4;13850
32;13851
154;13852
7;13858
13;13866
10;13871
25;13879
170;13945
19;13946
12;13947
10;13948
34;13952
15;13978
32;13979
54;13982
1;13995
1;14003
16;14006
6;14013
12;14041
18;14042
14;14045
48;14047
1;14074
36;14077
21;14096
38;14097
46;14138
5;14140
2;14156
24;14157
32;14182
40;14184
11;14187
3;14192
8;14193
23;14218
3;14233
8;14234
29;14235
30;14236
160;14237
17;14279
2;14282
15;14291
4;14329
28;14331
41;14332
5;14350
48;14425
48;14428
7;14436
31;14445
156;14447
28;14475
10;14477
27;14481
74;14521
2;14522
12;14523
20;14543
18;14544
6;14555
15;14572
25;14580
9;14606
172;14617
29;14619
11;14620
5;14621
13;14622
5;14643
14;14646
13;14653
9;14655
162;14656
6;14670
1;14674
23;14679
11;14714
202;14715
25;14716
8;14718
3;14719
4;14720
17;14745
33;14747
163;14752
38;14810
196;14811
54;14812
8;14832
3;14850
32;14857
17;14862
38;14905
