validfrom_utc,volume_kwh,emission_kg,co2_factor_kg_per_kwh,co2_factor_g_per_kwh
2023-04-04 04:00:00+00:00,11468211,4444156,0.3875195529625327,387.5195529625327
2023-04-04 05:00:00+00:00,12671412,4843125,0.3822087862031477,382.20878620314767
2023-04-04 06:00:00+00:00,13936661,4599531,0.33003105980693653,330.0310598069365
2023-04-04 07:00:00+00:00,16180262,4299694,0.2657369825037444,265.7369825037444
2023-04-04 08:00:00+00:00,17074945,3443783,0.2016863304684144,201.68633046841438
2023-04-04 09:00:00+00:00,18984419,3112118,0.16393011553316433,163.93011553316433
2023-04-04 10:00:00+00:00,20371676,2795590,0.1372292588984824,137.22925889848239
2023-04-04 11:00:00+00:00,21111399,2735157,0.12955830165494953,129.55830165494953
2023-04-04 12:00:00+00:00,21006955,2728419,0.12988169870407207,129.88169870407208
2023-04-04 13:00:00+00:00,19900161,2863089,0.14387265510062958,143.87265510062957
2023-04-04 14:00:00+00:00,18376709,3111487,0.16931687822884936,169.31687822884936
2023-04-04 15:00:00+00:00,17116312,3792265,0.22155853433847197,221.558534338472
2023-04-04 16:00:00+00:00,16059976,4534038,0.28231910184672754,282.31910184672756
2023-04-04 17:00:00+00:00,14120753,4609930,0.3264648846984293,326.46488469842933
2023-04-04 18:00:00+00:00,13006902,4764982,0.36634257719478475,366.3425771947847
2023-04-04 19:00:00+00:00,12637820,4740406,0.37509681258318284,375.09681258318284
2023-04-04 20:00:00+00:00,12091770,4575077,0.37836288649221744,378.36288649221746
2023-04-04 21:00:00+00:00,12312788,4783365,0.3884875626868586,388.48756268685855
2023-04-04 22:00:00+00:00,11900782,4652037,0.39090179115960616,390.90179115960615
2023-04-04 23:00:00+00:00,10524040,4139106,0.3933001014819404,393.3001014819404
2023-04-05 00:00:00+00:00,10109184,4009906,0.3966597106156145,396.65971061561453
2023-04-05 01:00:00+00:00,10387995,4118239,0.3964421430699572,396.4421430699572
2023-04-05 02:00:00+00:00,10554963,4197529,0.39768296677117676,397.6829667711768
2023-04-05 03:00:00+00:00,11819870,4672677,0.3953238910411028,395.32389104110285
2023-04-05 04:00:00+00:00,12427730,4861734,0.39120048472247143,391.20048472247146
2023-04-05 05:00:00+00:00,13109363,4978138,0.37973912233569246,379.73912233569246
